title,authors,editors,tm,type,publisher,isbn,abstract,year,department,pdf_path,external_link,citation,keyword,status,restricted
Basella alba,M. Rahmansyah,,P,Article,,,,1993,None,,,Rahmansyah M. 1993. Basella alba.,"Basella alba, nutrional value, propagation",0,0
Seed Production of Patola,"Agripina O. Rasco, Laureano B. Lanosia, Marilyn M. Beltran, Melquiades EC. Reyes",,P,Research,,,,2009,None,,,"Rasco, A.O., Lanosia, L.B., Beltran, M.M. & Reyes, M.E.C. (2009). Seed Production of Patola. Information Bulletin No. 287 UPLB, PCAARRD","Talisay variety, patola, propagation, seed packing, seed storage",0,0
Seed Production of Upo,"Agripina O. Rasco, Laureano B. Lanosia, Marilyn M. Beltran, Melquiades EC. Reyes",,P,Research,,,,2009,None,,,"Rasco, A.O., Lanosia, L.B., Beltran, M.M. & Reyes, M.E.C. (2009). Seed Production of Upo. Information Bulletin No. 289 UPLB, PCAARRD","Bottlegourd, upo, Tambuli, production, pest and disease management, return on investment",0,0
The acceptability and nutritional content of the fiddlehead fern as extender to bread products in Mindanao Philippines 9000,Marilyn C. Rayon and Sofia C. Naelga,,NP,Journal,"Mindanao University of Science and Technology, Lapasan, Cagayan de Oro City, Philippines",,"Ferns are plants that grow on the mountains and are usually used for landscaping and flower arrangements. Yet, there are varieties of ferns that are edible and are highly nutritious. One example is fiddlehead fern (commonly known in the Philippines as pako). This type of vegetable is commonly seen in the wet markets especially in provinces with its scientific name, Diplazium esculentum (Retz.) Swartz. These are usually grown from rhizomes and are found growing on the banks of streams, rivers or other sources of fresh water. Fiddlehead fern can be eaten boiled or stir-fried and is usually mixed with vinegar and tomatoes or other salad dressing. Studies show that ferns are rich in vitamins A and C and are rich in niacin, magnesium, calcium, potassium and phosphorus (Buhusay et al., 2011).This study aimed to create and produce a unique bread recipe product where the fiddlehead fern or pako is used to increase its bulk and enhance the nutritional value of the hot bread. The fern is not only very affordable but most importantly suitable for people who have osteoporosis and other nutrient concern, anemia and diabetes and for children.

",2016,None,,https://makhillpublications.co/files/published-files/mak-tss/2016/8-1536-1540.pdf,"Rayon, M.C. and Naelga, S.C. (2016). The acceptability and nutritional content of the fiddlehead fern as extender to bread products in Mindanao, Philippines, 9000. The Social Sciences 11(8): 1536-1540.","Fiddlehead fern, nutritional content, extenders, bread product, body",0,0
Impact of collaborative marketing on vegetable production systems: the case of clustering in the Southern Philippines,"R.R. Real, S.B. Concepcion, M.O. Montiflor, J.T. Axalan and R.J.G. Lamban, D.I. Apara, F.T. Israel and R.H. Bacus, P.J. Batt, R.B. Murray-Prior and M.F. Rola-Rubzen",,NP,Article,School of Management University of the Philippines Mindanao The Philippines; 2UP Strategic Research and Management Foundation Inc. University of the Philippines Mindanao The Philippines; 3Curtin University Perth Western Australia,,"In the Southern Philippines, the clustering method has been introduced to smallholder vegetable farmers as a development approach to facilitate linkages with markets, while simultaneously assisting farmers to establish more organized and effective groups. For the clusters to sustain their linkages with buyers, they must often adapt their production systems to meet the buyers' requirements. This study explores the impact of cluster marketing on vegetable production systems in the Southern Philippines. Key changes in the production systems include the use of superior varieties to increase the marketable yield and to mitigate disease, the introduction of protected cropping through rain shelters to minimize losses from adverse climatic conditions, and the application of non-chemical inputs to reduce production costs.",2013,None,,https://www.researchgate.net/publication/283881122_Impact_of_collaborative_marketing_on_vegetable_production_systems_The_case_of_clustering_in_the_Southern_Philippines,"Real, R. R., Concepcion, S. B., Montiflor, M. O., Axalan, J. T., Lamban, R. J. G., Apara, D. I., Israel, F. T., Bacus, R. H., Batt, P. J., Murray-Prior, R. B., & Rola-Rubzen, M. F. (2013). Impact of collaborative marketing on vegetable production systems: The case of clustering in the Southern Philippines.
","Collaboration, cluster marketing, vegetable production system, market linkages; cooperation",0,0
Some Familiar Philippine Palms that Produce High Food Value and Tikog,Research Information Series on Ecosystems (RISE),,NP,Research,Research Information Series on Ecosystems (RISE),,"Aside from forest trees that we usually feature in RISE, there are other plant species that can be propagated for economic and environmental benefits. Among such plants are palms and tikog. Palms are minor forest products that abundantly grow in our forests. They have numerous economic uses and are known to provide edible fruits and shoots, buds, alcohol, starch, sugar, oils, fibers, raw materials for furniture making, handicraft, house construction, ornamental and other uses. Ornamental palms are planted mostly in school campuses, resorts, buildings and hotel parks, and along highways. Palms are also used in jigsaw and flowers and serve as good landscape materials for home gardens. This compilation of RISE serves as a guide for our readers/end-users in their quest for information on the characteristics of this palm tree, economic uses and usefulness as an ornamental plant. Nine palm species were included in this issue. Tikog is a multipurpose species that grows in marshlands in the Philippines. Its stalks can be made into mats, handbags, placemats, baskets, tobacco cases and other novelty items as well as materials.

",2010,None,,,"Research Information Series on Ecosystems. (2010). Some Familiar Philippine Palms that Produce High Food Value and Tikog. Vol. 22 No. 1. Ecosystems Research and Development Bureau. Department of Environment and Natural Resources. College, Laguna.https://docslib.org/doc/13473129/some-familiar-philippine-palms-that-produce-high-food-value-tikog","Palms, high food value, African oil palm, ambong, anahaw, anibong, buri, fish tail palm, kaong, nipa, sago, takipan, niog",0,0
Oligosaccharides in several Philippine indigenous food legumes determination localization and removal,"Ma. Jamela R. Revilleza, Evelyn Mae T. Mendoza, Leoncio C. Raymundo",,NP,Article,"1Institute of Plant Breeding, College of Agriculture University of the Philippines Los Baños, College, Laguna, Philippines; 2Institute of Food Science and Technology, College of Agriculture University of the Philippines Los Baños, College, Laguna, Philippines",,"The oligosaccharide profile of raw mature seeds of seven different legumes indigenous to the Philippines was measured in 70% ethanol extracts of the seeds by thin layer chromatography using HPTLC plates and quantified by a densitometer. Based on the results, the legumes could be ranked according to decreasing oligosaccharide content or flatulence potential as follows: Sam-samping (Clitoria ternatea) greater than hyacinth bean (Dolichos lablab) greater than sabawel (Mucuna pruriens) greater than lima bean (Phaseolus lunatus) greater than swordbean (Canavalia gladiata) greater than rice bean (Vigna umbellata) greater than jack bean (Canavalia ensiformis). Sam-samping had 4.79% total oligosaccharides and hyacinth bean or batao, 3.66%. A jack bean accession had 1.79% oligosaccharides. Simple processing methods were tested to detoxify the oligosaccharides. Soaking the batao seeds had no effect while boiling even resulted in a net 23-31% increase in the levels of raffinose, stachyose and verbascose. On the other hand, two min of dry roasting resulted in complete removal of oligosaccharides whereas germination resulted in about 30-40% decrease after 1 and 2 days, respectively.",1990,None,,,"Revilleza, M.J., Mendoza, E.M., & Raymundo, L.C. (1990). Oligosaccharides in several Philippine indigenous food legumes: determination, localization and removal.https://pubmed.ncbi.nlm.nih.gov/2345736/","Oligosaccharides, raffinose, stachyose, verbascose, legumes, lima bean (Phaseolus lunatus L.), sword bean [Canavalia gladiata (Jacq.) DC.], jack bean [Canavalia ensiformis (L.) DC.], sabawel (Mucuna pruriens or cochinchinensis), hyacinth bean (Dolichos lablab L.), and rice bean (Vigna umbellata Ohashi.)",0,0
Momordica L,"M.E.C. Reyes, B.H. Gildemacher, G.J. Jansen",,P,Book,,,,1993,None,,,"Reyes, M.E.C., Gildemacher, B.H., Jansen, G.J. (1993). Momordica L. Plant resources of South-East Asia. No. 8: Vegetables","Momordica, nutritional value, M. conchinchinensis, M. charantia",0,0
Talinum triangulare,M. A. Rifai,,P,Article,,,,1993,None,,,"Rifai, M.A. (1993). Talinum triangulare.","Talinum, waterleaf, nutritional value, propagation",0,0
Benincasa hispida,M.A. Rifai and M.E.C. Reyes,,P,Article,,,,1993,None,,,"Rifai, M.A. and Reyes, M.E.C. (1993). Benincasa hispida.","Waxgourd, nutritional value, propagation",0,0
Bawang Alium sativum,Mabelle Roa-Ilan and Emily Bordado,,P,Research,,,,,None,,,"Roa-Ilan M and Bordado E. Bawang (Alium sativum). Department of Agriculture Regional Field Office No. 5 San Agustin Pili Camarines Sur. AFIS DA Central Office, Diliman, Quezon City.","Bawang, Allium sativum, mulching, cultural requirements, Cercospora leaf spot",0,0
Momordica charantia Bitter gourd,Julissa Rojas-Sandoval and Pedro Acevedo-Rodriguez,,P,Article,"Department of Botany-Smithsonian NMNH, Washington DC, USA",,"This datasheet on Momordica charantia covers Identity, Overview, Associated Diseases, Pests or Pathogens, Distribution, Dispersal, Hosts/Species Affected, Diagnosis, Biology & Ecology, Environmental Requirements, Natural Enemies, Impacts, Uses, Prevention/Control, Management, Genetics and Breeding, Food Quality, Food Safety, Economics and Further Information.",2018,None,,,"Rojas-Sandoval, J. and Acevedo-Rodriguez, P. (2018). Momordica charantia (Bitter gourd). https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.34678#d7d305c3-5e7f-47f1-b889-bdbefa5ed2ce","Bittergourd, Mormordica charantia, distribution, biology, invasiveness",0,0
Allium genetic resources in the Philippines,T.L. Rosario,,P,Article,"Department of Horticulture/Institute of Plant Breeding, University of the Philippines Los Baños, College, Laguna, Philippines",,"Garlic (Allium sativum L.), onion, and shallot (Allium cepa L.) are very important crops in Asia. A number of strains, cultivars, and elite lines are grown in Indonesia, Thailand, and Philippines for local consumption and export. In the Philippines, garlic is grown mainly in Northern Luzon and onion in Central Luzon, both crops being mainly propagated asexually. A genebank for these crops should be established for their maintenance and evaluation for future use in breeding programs. A collaborative network of vegetable research (AVNET) joining Indonesia, Malaysia, the Philippines, and Thailand was established through AVRDC with germplasm exchange as one of its subnetworks. The main objective of the subnetwork was the mutual exchange and evaluation of vegetable germplasm, including garlic and shallot. The Institute of Plant Breeding in the Philippines was identified as the lead agency to conduct the research. The institute had been collecting germplasm of the two crops, both locally and internationally, prior to AVNET. Collections of garlic from long-day countries did not produce bulbs; maintenance was a problem and these accessions have been lost.",1994,None,,,"Rosario, T.L. (1994). Allium genetic resources in the Philippines. Acta Horticulture 358. Alliums for the tropics.https://www.actahort.org/books/358/358_27.htm","Shallot, garlic, bulb characters, marketable yield",0,0
Grow Philippine spinach talinum year round in pots,Abe V. Rotor,,NP,Article,,,"Talinum (Talinum fruticosum = T. tiangulare). Other names: Ceylon spinach, Fame flower, Surinam Purslane. While it is cultivated as a leafy vegetable in Africa and South and Southeast Asia, it generally grows as an annual weed in fields and gardens during the monsoon season.",2014,None,,,"Rotor ,A.V. (2014). Grow Philippine spinach (talinum) year-round in pots. https://naturalismavrotor.blogspot.com/2019/03/grow-philippine-spinach-talinum-year.html","Talinum, propagation",0,0
Global trade patterns in fruits and vegetables challenges and opportunities,Rudyard R. Roxas and Rita T. dela Cruz,,NP,Article,,,"International trade in fruits and vegetables has expanded at a higher rate than trade in other agricultural commodities, particularly since the 1980s. Not only has world trade in fruits and vegetables gained prominence, but the variety of commodities has expanded. Over the years, three regions-the European Union (EU), the North American Free Trade Agreement (NAFTA) area, and Asia (East, Southeast, and South)-have remained as both the major destinations and sources of supply. A substantial share of their trade is intraregional, particularly that of the EU. All the three regions, however, depend on Southern Hemisphere countries for imports of juices and off-season fresh fruits, and on equatorial regions for bananas, the leading fresh fruit import. In addition to global north-south trading, due mostly to the counter-cyclical seasons of the two hemispheres, Asian trade has also become much more important since the 1980s as incomes and populations have grown and policies changed.",2008,None,,,"Roxas, R.R. and Dela Cruz, R.T. (2008). Global trade patterns in fruits and vegetables: challenges and opportunities. BAR Research and Development Digest 10(2).https://www.ers.usda.gov/publications/pub-details?pubid=40436","Global trade patterns, vegetables, fruit sector",0,0
Phytochemical screening of selected indigenous edible plants from the towns of Isabela Philippines,Oliva C. Ruma,,NP,Article,"College of Arts and Sciences, Isabela State University, Echague 3309 Isabela, Philippines",,"Present investigation conducted phytochemical screening of indigenous edible plants collected from the local markets of the six towns of Southern Isabela Philippines namely: Echague, San Isidro, Jones, San Agustin, Santiago and Cordon. Standard procedures of chemical screening were performed on the selected indigenous food plants scientifically known as: Diplazium esculentum, Amaranthus viridis Linn, Artocarpus altilis, Phaseolus ilocanus Blanco, Amorphophallus campanulatus Blume, Syzygium lineatum (DC.) Merr. & L.M. Perry, Lycopersicon esculentum var. cerasiforme, Schizophyllum commune, Colocasia esculenta Lin, Momordica chinensis, Phyllanthus acidus (L.) Skeels, Sesbania grandiflora (Linn.) Pers.), Cajanus cajan (Linn.) Mill, Phaseolus vulgaris and Psophocarpus tetragonolobus. Wide range of chemical classes was found in the fifteen plant extracts as revealed by the appearance of certain color or precipitate by the chemical tests applied in the phytochemical screening.",2016,None,,,"Ruma, O.C. (2016). Phytochemical screening of selected indigenous edible plants from the towns of Isabela, Philippines. Asian Journal of Natural & Applied Sciences 5(1):36-45.https://www.academia.edu/106552779/Phytochemical_Screening_of_Selected_Indigenous_Edible_Plants_from_the_Towns_of_Isabela_Philippines#:~:text=Present%20investigation%20conducted%20phytochemical%20screening%20of%20indigenous%20edible,San%20Isidro%2C%20Jones%2C%20San%20Agustin%2C%20Santiago%20and%20Cordon.","Indigenous edible plants, secondary metabolites, phytochemical screening.",0,0
Suppressive effect of the hot water extract of Ficus pseudopalma Blanco leaves on the postprandial increase in blood glucose level in mice,"Reginald B. Salonga, Shinsuke Hisaka, Jasmin S. Mendoza, Yoshiaki Takaya, Masatake Niwa, Christina A. Binag, Mitsuhiko Nose",,NP,Article,"Graduate School of Pharmacy, Meijo University, 150 Yagotoyama, Tempaku, Nagoya 468-8503, Japan; 2Research Center for Natural Sciences, University of Santo Tomas, Espan˜a, Boulevard, Sampaloc, 1008 Manila, Philippines",,"The use of medicinal plants with anti-diabetic properties continues because of the high cost of diabetes mellitus treatment. In the Bicol region of the Philippines, one local source is the leaves of Ficus pseudopalma Blanco (Philippine fig), which is utilized as an ingredient of their cuisine, and the decoction of its leaves is believed to have a blood-glucose lowering effect. The aim of this study was to evaluate the blood-glucose lowering effect of F. pseudoplama using sugar/carbohydrate-loaded and normoglycemic mice. The results showed that the hot-water extract of the leaves significantly suppressed the increase of blood glucose levels after glucose, maltose and starch loading. On the other hand, the extract did not show any hypoglycemic activity in either fasted or non-fasted mice as compared to the positive control drugs. These results suggest that F. pseudopalma is potentially useful for the management of blood glucose levels in the postprandial condition, as believed in the Bicol region of the Philippines.",2012,None,,,"Salonga, R.B., Hisaka, S., Mendoza, J.S., Takaya, Y., Niwa, M., Binag, C.A., Nose, M. 2012. Suppressive effect of the hot-water extract of Ficus pseudopalma Blanco leaves on the postprandial increase in blood glucose level in mice. https://pubmed.ncbi.nlm.nih.gov/23263832/","Ficus pseudoplama Blanco, Moraceae, diabetes mellitus, oral glucose tolerance test (OGTT), postprandial blood glucose level",0,0
Effect of malunggay Moringa oleifera capsules on lipid and glucose levels,Mark Anthony S. Sandoval and Cecilia A. Jimeno,,NP,Article,"University of the Philippines, Manila",,"Moringa oleifera, commonly known as malunggay, is frequently consumed in the Philippines with perceived health benefits, particularly for high cholesterol and diabetes. This study investigates the effects of malunggay capsules on lipid profiles and glucose levels in dyslipidemic patients, aiming to address gaps in clinical research on human subjects. Results indicate potential positive metabolic effects, supporting further investigation into malunggay as a treatment option.",2013,None,,,"Sandoval, M.A.S. and Jimeno, C.A. (2013). Effect of malunggay (Moringa oleifera) capsules on lipid and glucose levels. ACTA MEDICA PHILIPPINA 47(3):22-27.https://www.academia.edu/116448551/Effect_of_Malunggay_Moringa_oleifera_Capsules_on_Lipid_and_Glucose_Levels","Moringa oleifera, malunggay, LDL, cholesterol, dyslipidemia, lipid profile, glucose",0,0
Lupeol An antioxidant triterpene in Ficus pseudopalma Blanco Moraceae,Librado A. Santiago and Anna Beatriz R. Mayor,,NP,Article,"University of Santo Tomas, Manila, Philippines",,"Objective: To assess the antioxidant activity of Ficus pseudopalma Blanco (Moraceae) (F. pseudopalma) and characterize the active components present in it. 

Methods: Column chromatography of crude ethanol leaf extract of F. pseudopalma was performed and seven fractions were obtained, labeled as F1, F2, F3, F4, F5, F6, F7. DPPH, FRAP, Griess, Fenton and superoxide radical scavenging assays were performed to assess the antioxidant ability of the fractions. Thin layer chromatography (TLC), high performance liquid chromatography and Fourier transfer infrared spectroscopy (FTIR) were performed to identify and characterize the bioactive component present in each fractions of F. pseudopalma. 

Results: DPPH and FRAP assay showed that F5, F6 and F7 exhibited the good proton accepting ability and reducing power as compared to the other fractions. All fractions exhibited a good nitric oxide radical scavenging activity wherein F1, F2 and F3 showed the highest inhibition. However, all of the fractions exhibited a stimulatory activity on hydroxyl and superoxide radicals. Lupeol matched one of the spots on the thin layer chromatography chromatogram of the fractions. Linear gradient high performance liquid chromatography and spiking of lupeol with the fraction revealed the presence of 5.84 mg/L lupeol in F6. Infrared spectra of the fractions revealed the presence of C-C, OH, aromatic C=C and C=O groups. 

Conclusions: The identified lupeol in F. pseudopalma may be responsible for the exhibited antioxidant property of the plant. Furthermore, knowing the antioxidant capability of the plant, F. pseudopalma can be developed into products which can help prevent the occurrence of oxidative stress related diseases.",2014,None,,,"Santiago, L.A. and Mayor, A.B.R. (2014). Lupeol: An antioxidant triterpene in Ficus pseudopalma Blanco (Moraceae). Asian Pac J Trop Biomed 4(2):109-119.https://pubmed.ncbi.nlm.nih.gov/25182281/","Antioxidant, oxidative stress, free radical scavenging, reducing power, phenolic acids, Ficus pseudopalma Blanco",0,0
Ethnobotanical survey and nutritional composition of Ficus pseudopalma Blanco Moraceae,"Librado A. Santiago, Anna Beatriz R. Mayor, and Joshua B. Arimado",,NP,Article,"University of Santo Tomas, Manila, Philippines",,"Ficus pseudopalma is an endemic medicinal plant with great ethnobotanical applications. Aside from being an ornamental plant, it is also being consumed as food and medicine. However, there are no data yet on its nutritional composition that supports its nutritional significance and utilization in the healthcare industry. For that reason, this study was conducted to provide essential information regarding the plant's health benefits, as well as to evaluate its current traditional use. A local survey was conducted in Baao, Camarines Sur, Bicol, Philippines that involved 51 respondents who are residents of the place and who are familiar with the plant. Powdered leaves of F. pseudopalma were subjected to chemical analysis in the Food and Nutrition Research Institute-Department of Science and Technology. The results of the survey showed that leaf decoction was most popularly used as medication for the treatment of high blood pressure, urinary problems, diabetes, high cholesterol and other medical conditions. High values of dietary fiber (46.3%) and total carbohydrates (51.0%), and minimal mineral content were recorded from the powdered leaves of F. pseudopalma. These data strongly suggest that the powdered dried leaf may be used as an indigenous ingredient in various healthy high-fiber-enriched, nutritious recipes and menus, and/or dietary functional foods and energy drinks.",2014,None,,https://www.researchgate.net/publication/321793287_Ethnobotanical_Survey_and_Nutritional_Composition_of_Ficus_pseudopalma_Blanco_Moraceae,"Santiago, L.A., Mayor, A.B.R., Arimado, J.B. (2014). Ethnobotanical survey and nutritional composition of Ficus pseudopalma Blanco (Moraceae). Philippine Science Letters 7(2):401-405.","Ficus pseudopalma, endemic, nutrition, ethnobotanical, ethnomedicine",0,0
Super Alokon Flowers are as long as one foot,Zac B. Sarian,,P,Article,Agri News Sarian Farm Press,,,2015,None,,,"Sarian, Z.B. (2015). Super Alokon: Flowers are as long as one foot! Agri News Sarian Farm Press zbsarian.","Alokon, himbabao flowers",0,0
Handbook on Integrated Food Production,Save the Children and Kraft Food Philippines,,NP,Research,Save the Children,,,2012,None,,https://www.scribd.com/document/141295302/Hanbook-on-Integrated-Food-Production,"Save the Children and Kraft Food Philippines. 2012. Handbook on Integrated Food Production. Save the Children in the Philippines 2nd and 3rd Floors Midland Building, 1040 EDSA, Magallanes Village, Makati City 1232 PHILIPPINES.","Organic food production, vegetable gardening, disaster reduction and climate change",0,0
Efficacy of Malunggay Moringa oleifera leaves in improving the iron and vitamins A and B status of Filipino schoolchildren,"M.E. Serafico, L.A. Perlas, C.R. Magsadia, J.A. Desnacido, R.V. Viajar, E.O. Rongavilla, G.P. Azana and T.P. Trinidad",,NP,Conference,"Food and Nutrition Research Institute, Department of Science and Technology, Bicutan, Taguig City, Philippines.",,"The prevalence of iron deficiency anemia (IDA) and vitamin A deficiency (VAD) remain at a significant public health level in the Philippines as shown by National Nutrition Surveys conducted by the FNRI-DOST. While riboflavin and folic acid deficiencies among schoolchildren could also be areas of concern, nutritional assessment of these vitamins are lacking. In this study, Moringa oleifera, locally known as Malunggay, was considered as a possible solution to these problems because of its high nutritional content. The study was conducted in two public elementary schools in Muntinlupa City where 121 underweight children aged 8-10 years old were divided into control (n=60) and experimental (n=61) groups. The control group was fed with snack foods (arrozcaldo, ginataang mais, macaroni soup, pancit canton and polvoron) during recess while the experimental group was fed with the same snack foods wherein three grams Malunggay leaf powder (MLP) was added. Height and weight, food intake and hemoglobin, serum ferritin, vitamin A, riboflavin and folic acid were measured before and after the 120-day feeding period. Results showed that the consumption of the snack foods significantly increased the nutrient intakes of the children. Greatest increase was recorded for vitamin A intake of the children given 3 g MLP. Endline vitamin A intake exceeded the requirement for vitamin A. Increase in height and weight between the groups were not different. Increase in hemoglobin levels was greater among children who consumed snack foods with MLP while increase in serum vitamin A levels was observed in both groups. A significant increase in serum folic acid was recorded in the experimental group. In conclusion, regular consumption of Malunggay leaves may help alleviate certain micronutrient deficiencies such as IDA, VAD and folic acid deficiency.",2017,None,,,"Serafico, M.E., Perlas, L.A., Magsadia, C.R., Desnacido, J.A., Vijar, R.V., Rongavilla, E.O., Azana, G.P. and Trinidad, T.P. (2017). Efficacy of Malunggay (Moringa oleifera) leaves in improving the iron and vitamins A and B status of Filipino schoolchildren. Proceedings, International Symposium on Moringa. https://www.academia.edu/81512372/Efficacy_of_Malunggay_Moringa_oleifera_leaves_in_improving_the_iron_and_vitamins_A_and_B_status_of_Filipino_schoolchildren#:~:text=Regular%20consumption%20of%20Moringa%20oleifera%20leaf%20powder%20improves,children%20aged%208-10%2C%20with%20a%20120-day%20feeding%20intervention.","Moringa, hemoglobin, vitamin A deficiency, folic acid, riboflavin",0,0
Solanum americanum,J.S. Siemonsma and P.C.M. Jansen,,P,Article,,,,1993,None,,,Siemonsma JS & Jansen PCM. (1993). Solanum americanum.,"Anti, nutritional value, propagation",0,0
How to Grow gabi,Simple Livelihood Technologies,,P,Research,,,,2006,None,,,Simple Livelihood Technologies. (2006). How to Grow Gabi.,"Gabi, propagation",0,0
Allium ampeloprasum L cv group Leek,D. Sulistiorini and Q.P. van der Meer,,P,Article,,,,2019,None,,,"Sulistiorini, D. and van der Meer, Q.P. (2019).Allium ampeloprasum L. cv.group Leek.","Leek, Allium ampeloprasum, nutritional value, propagation",0,0
Characterization and promotion of underutilized indigenous food plants in Bayambang Pangasinan for food security,"Grace M. Suratos, Nelda J. Garcia, Emmerson Ramir R. España, Arceli Adoracion G. Ramos",,NP,Book,"Pangasinan State University, Philippines",,"Indigenous foods plants (IFPs) which serve as sources of macro and micro-nutrients continue to be neglected, underutilized, slowly forgotten and are disappearing at an alarming rate due to modernization, posing serious threats to food security. These observations led the researchers to conduct this study. Part one of this study aimed to describe the vegetative characteristics of the underutilized indigenous food plants (UIFPs) in Bayambang, Pangasinan, Philippines. Part two aimed at the level of awareness of these UIFPs among students of Pangasinan State University (PSU), Bayambang Campus who are becoming unfamiliar to these plants. Descriptive-survey method was used in this study. Results of this study revealed fifteen UIFPs that are found in the locality of Bayambang, Pangasinan which can be used as vegetable additives in Filipino dishes as well as can be eaten raw as salads. These UIFPs are known in the local dialect as: papait, talinum, ngalog, dilangbaka, pansitpansitan, taptapingar, bagbagkong, samsamping, tigi/ pungapong, itlog-gagamba, sili-silihan, binahian/chinese malunggay, sabsabitan, takip-kohol, and purpuriket/ ashitaba. On students' level of awareness on the UIFPs, findings showed that the student-respondents are very much aware of only one UIFP, slightly aware of four UIFP and totally not aware of 10 UIFPs. The study also revealed that the students prefer the cultivation of the UIFPs in school gardens and in the community as the best method of promoting awareness of the UIFPs. Accordingly, the age, residence, and areas of specialization of the student-respondents are factors that affect their level of awareness of the UIFPs regardless of their gender and economic status.",2017,None,,,"Suratos, G.M., Garcia, N.J., España, E.R.R., Ramos, A.A.G.( 2017). Characterization and promotion of underutilized indigenous food plants in Bayambang Pangasinan for food security. Asia Pacific Journal of Education, Arts and Sciences 4(1):54-61.https://www.academia.edu/42826497/Characterization_and_Promotion_of_Underutilized_Indigenous_Food_Plants_in_Bayambang_Pangasinan_for_Food_Security","Indigenous food plants, underutilized, characterization, vegetative",0,0
How to Succeed Exotic Vegetables Spices and Herbs,Sølvi Svendsen,,NP,Book,Det Norske Hageselskap,,"For several reasons, the demand for exotic vegetables, spices and herbs is increasing. One reason is the growing number of immigrants coming to Norway. There are approximately 800,000 persons with an immigrant background from about 200 different countries in Norway. These can be divided into five to seven groups based on different food traditions. Due to this development, there is increasing demand for international foods. Nowadays, Norwegians are travelling abroad much more than before. As a result, they are becoming acquainted with new food traditions from all over the world, and are increasingly looking to find these 
foods on the domestic market, as well. New eating habits and improved storage technology are a third reason for the increased demand for exotic produce. With stores offering a wider range of products and storage methods becoming better, fresh produce is now available throughout most of the year. Traditional preservation methods like canning, drying and salting have been widely replaced by cold storage with advanced temperature and moisture control. Today, food from around the world is imported much faster than before, and is kept under optimal temperature and moisture conditions during transport. Certain exotic vegetables can now be purchased in food stores, but their quality varies due to long transports, in spite of refrigeration. Several of these crops can be grown in Norway (Fig. 1), especially numerous leafy greens and root vegetables. Some of them are also frost-hardy and can be kept outdoors until late fall or early winter.",2014,None,,,"Svendsen, S. (2014). How to Succeed - Exotic Vegetables, Spices and Herbs. Det Norske Hageselskap","Norway, exotic vegetables, cultivation",0,0
Talinum Katutubong Gulay,,,P,Research,,,,2010,None,,,Talinum Katutubong Gulay. (2010). Department of Agriculture and Fisheries Information Service. 1st Edition.,"Waterleaf, talinum, halamang gulay, nutritional values",0,0
Nutritional analysis phytochemical screening and total phenolic content of Basella alba leaves from the Philippines,"Jovale Vincent V. Tongco, 2Ronald Arlet P. Villaber, 2Remil M. Aguda and 1Ramon A. Razal",,NP,Article,"1Department of Forest Products and Paper Science, College of Forestry and Natural Resources, University of the Philippines Los Baños, College, Laguna, Philippines; 2 Institute of Chemistry, College of Arts and Sciences, University of the Philippines Los Baños, College, Laguna, Philippines",,"Basella alba, known locally in the Philippines as “Alugbati” is an underutilized crop in the Philippines having potential health benefits. Proximate (nutritional) analysis using standard methods showed that the oven-dried leaves contain 15.49 ± 0.36 % ash (minerals), 1.58 ± 0.08% crude fat, 7.23 ± 0.17% crude fiber, 17.55 ± 0.08 % crude protein, and 50.62 ± 0.30 % total carbohydrates. The presence of phytochemicals such as saponins, diterpenes, phenols, tannins, and flavonoids in both ethanolic and aqueous extracts, alkaloids in aqueous extract, and cardiac glycosides in ethanolic extract was known through qualitative phytochemical screening of B. alba leaves extracts. Using the Folin-Ciocalteu method, the total phenolic contents were found to be 93.89 and 85.13 mg gallic acid equivalents (GAE)/g extract for ethanol and aqueous extracts, respectively and 100.18 and 90.80 mg quercetin equivalents (QE)/g extract for ethanol and aqueous extracts, respectively. The phytochemicals detected in the aqueous and ethanolic extracts contributes to the anticancer, antioxidant, and anti-inflammatory properties of B. alba as described in literature.",2015,None,,https://www.researchgate.net/publication/284803990_Nutritional_analysis_phytochemical_screening_and_total_phenolic_content_of_Basella_alba_leaves_from_the_Philippines,"Tongco, J.V., Añis, A.D., Tamayo, J.P. (2015). Nutritional analysis, phytochemical screening, and total phenolic content of Basella alba leaves from the Philippines. International Journal of Pharmacognosy and Phytochemical Research 7(5):1031-1033.","Diplazium esculentum, fern, nutritional content, phytochemical screening, phenolics, flavonoids",0,0
Gabay sa Produksyon ng Kamoteng Kahoy Manihot esculenta Crantz,UPLB Information and Education and Communication Program and SMC Agribusiness and Development Corp,,P,Research,,,,,None,,,UPLB Information and Education and Communication Program and SMC Agribusiness and Development Corp. Gabay sa Produksyon ng Kamoteng Kahoy (Manihot esculenta Crantz).,"Kamoteng kahoy, production guide, cultural requirements",0,0
Allium sativum L,Q.P. van der Meer and A.H. Permadi,,P,Article,,,,1993,None,,,Van der Meer QP and Permadi AH. 1993. Allium sativum L.,"Allium sativum, nutritional values, propagation, S-allylcycliccysteine sulphoxide",0,0
Exploring the potentials of ricelike Adlai,A.A. Velasco,,P,Article,,,,2010,None,,,Velasco AA. 2010. Exploring the potentials of rice-like Adlai. BAR Research and Development Digest 11(3-4).,"Coix lacryma-jobi L, adlai, abukai",0,0
